Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,relevant,highest
"Temur Charm",1,54132,Uncommon,KTK,208/269,No,0.02,7.93
"Zurgo Helmsmasher",1,54250,Mythic Rare,KTK,214/269,No,0.90,0.90
"Trap Essence",1,54442,Rare,KTK,209/269,No,0.10,15.63
"Villainous Wealth",1,54448,Rare,KTK,211/269,No,0.02,0.01
"Warden of the Eye",1,54052,Uncommon,KTK,212/269,No,0.02,3.34
"Longshot Squad",1,54380,Common,KTK,140/269,No,0.03,0.20
"Savage Knuckleblade",1,54186,Rare,KTK,197/269,No,0.02,0.96
"Sidisi, Brood Tyrant",1,54256,Mythic Rare,KTK,199/269,No,0.88,1.90
"Efreet Weaponmaster",1,54412,Common,KTK,175/269,No,0.02,1.46
"Flying Crane Technique",1,54438,Rare,KTK,176/269,No,0.04,40.27
"Mardu Roughrider",1,54050,Uncommon,KTK,187/269,No,0.02,0.17
"Master the Way",1,54146,Uncommon,KTK,188/269,No,0.11,9.13
"Bear's Companion",1,54054,Uncommon,KTK,167/269,No,0.05,1.96
"Death Frenzy",1,54148,Uncommon,KTK,172/269,No,0.08,5.80
"Witness of the Ages",1,54154,Uncommon,KTK,228/269,No,0.06,1.94
"Ugin's Nexus",1,54462,Mythic Rare,KTK,227/269,No,0.92,26.62
"Briber's Purse",1,54158,Uncommon,KTK,217/269,No,0.02,0.02
"Dragon Throne of Tarkir",1,54460,Rare,KTK,219/269,No,0.04,131.39
"Jeskai Charm",1,54130,Uncommon,KTK,181/269,No,0.04,7.93
"Kheru Lich Lord",1,54444,Rare,KTK,182/269,No,0.06,9.95
"Mardu Ascendancy",1,54430,Rare,KTK,185/269,No,0.17,0.17
"Mardu Charm",1,54128,Uncommon,KTK,186/269,No,0.03,7.93
"Sage of the Inward Eye",1,54184,Rare,KTK,195/269,No,0.02,6.95
"Sagu Mauler",1,54190,Rare,KTK,196/269,No,0.02,2.40
"Temur Ascendancy",1,54440,Rare,KTK,207/269,No,0.02,1.13
"Hooting Mandrills",1,54040,Common,KTK,137/269,No,0.04,0.04
"Incremental Growth",1,54402,Uncommon,KTK,138/269,No,0.04,2.23
"Abzan Ascendancy",1,54426,Rare,KTK,160/269,No,0.02,0.17
"Abzan Guide",1,54136,Common,KTK,162/269,No,0.08,12.58
"Dragonscale Boon",1,54382,Common,KTK,131/269,No,0.02,0.56
